Title,Note,URL,Comment
Black History Museum and Cultural Center of Virginia,,https://www.google.com/maps/place/Black+History+Museum+and+Cultural+Center+of+Virginia/data=!4m2!3m1!1s0x89b1113a373e9e0f:0x5f0375e6c80cab83,
Virginia House,,https://www.google.com/maps/place/Virginia+House/data=!4m2!3m1!1s0x89b113905dda7d99:0x43b1671521cfe7e3,
Agecroft Hall & Gardens,,https://www.google.com/maps/place/Agecroft+Hall+%26+Gardens/data=!4m2!3m1!1s0x89b1139a690602ad:0x559fd71763c464e8,
Hippodrome Theater,,https://www.google.com/maps/place/Hippodrome+Theater/data=!4m2!3m1!1s0x89b1113af23857d9:0xc27feaca6fdb5360,
Virginia Museum of History & Culture,,https://www.google.com/maps/place/Virginia+Museum+of+History+%26+Culture/data=!4m2!3m1!1s0x89b113fe9ea1b24f:0xc5e4c1737313112,
Gus' Bar & Grill,,https://www.google.com/maps/place/Gus'+Bar+%26+Grill/data=!4m2!3m1!1s0x89b11155144e6be3:0x9f15fdeea042e16a,
The Veil Brewing Co. - Forest Hill,,https://www.google.com/maps/place/The+Veil+Brewing+Co.+-+Forest+Hill/data=!4m2!3m1!1s0x89b11375d17d5771:0xa72cd4cc28785fc6,
The Savory Grain,,https://www.google.com/maps/place/The+Savory+Grain/data=!4m2!3m1!1s0x89b11153cf16d68b:0xbcc57e3770255614,
821 Cafe,,https://www.google.com/maps/place/821+Cafe/data=!4m2!3m1!1s0x89b111415968ede1:0xdf8411a2e96fa256,
Lemaire,,https://www.google.com/maps/place/Lemaire/data=!4m2!3m1!1s0x89b1113f3318a51b:0x9b860a522cb704c,
Village Cafe,,https://www.google.com/maps/place/Village+Cafe/data=!4m2!3m1!1s0x89b1114f514296a7:0xf35875d60b2aca29,
Pig and Brew,,https://www.google.com/maps/place/Pig+and+Brew/data=!4m2!3m1!1s0x89b1111b5123f99b:0x9c41667d12c765a4,
Poe's Pub,,https://www.google.com/maps/place/Poe's+Pub/data=!4m2!3m1!1s0x89b110e37b174ff1:0x3ed154e610b6617d,
Alewife,,https://www.google.com/maps/place/Alewife/data=!4m2!3m1!1s0x89b110ef6a7cb493:0x1559b4ae285d5f42,
Max's On Broad,,https://www.google.com/maps/place/Max's+On+Broad/data=!4m2!3m1!1s0x89b111397735ca69:0x6f36799a7d48dead,
Cobra Cabana,,https://www.google.com/maps/place/Cobra+Cabana/data=!4m2!3m1!1s0x89b11134757b1c6b:0x490c2af5b5ca90b1,
Fat Dragon Chinese Kitchen and Bar,,https://www.google.com/maps/place/Fat+Dragon+Chinese+Kitchen+and+Bar/data=!4m2!3m1!1s0x89b110e9abed8b87:0xe0b291fe99883f11,
Southern Kitchen,,https://www.google.com/maps/place/Southern+Kitchen/data=!4m2!3m1!1s0x89b1111e8ced6dc9:0xd46a65e1fc1fdf58,
The Tobacco Company Restaurant,,https://www.google.com/maps/place/The+Tobacco+Company+Restaurant/data=!4m2!3m1!1s0x89b1115bafed0c49:0x9b92a90a0bf11d8a,
LuLu's,,https://www.google.com/maps/place/LuLu's/data=!4m2!3m1!1s0x89b1111eebe37f9f:0x5c40e63de9894639,
Billy Pie,,https://www.google.com/maps/place/Billy+Pie/data=!4m2!3m1!1s0x89b11521882c8291:0x6abe2944fa52879c,
Kitchen 64,,https://www.google.com/maps/place/Kitchen+64/data=!4m2!3m1!1s0x89b116a38713d343:0x1ee3b541d2407dc4,
Starr Hill Beer Hall & Rooftop,,https://www.google.com/maps/place/Starr+Hill+Beer+Hall+%26+Rooftop/data=!4m2!3m1!1s0x89b115f10d3ab37f:0xe088f38c7d3a68e8,
Harrison Street Cafe,,https://www.google.com/maps/place/Harrison+Street+Cafe/data=!4m2!3m1!1s0x89b1114f57f57777:0xdbc8376bb38143f5,
Cirrus Vodka,,https://www.google.com/maps/place/Cirrus+Vodka/data=!4m2!3m1!1s0x89b116b2ba9a5f3f:0x1a9577f1c8bf51c2,
The Sidewalk Cafe,,https://www.google.com/maps/place/The+Sidewalk+Cafe/data=!4m2!3m1!1s0x89b111585534f9e3:0xe5180453ed9191d2,
Joe's Inn the Fan,,https://www.google.com/maps/place/Joe's+Inn+the+Fan/data=!4m2!3m1!1s0x89b111576e75db79:0x8dd1e8120ca3bd22,
Pik Nik,,https://www.google.com/maps/place/Pik+Nik/data=!4m2!3m1!1s0x89b1115870c13adb:0xd41567ebde7fe8bc,
The Hop Craft Pizza & Beer,,https://www.google.com/maps/place/The+Hop+Craft+Pizza+%26+Beer/data=!4m2!3m1!1s0x89b1115b82429a85:0x2107f014949d34f7,
Rappahannock Restaurant,,https://www.google.com/maps/place/Rappahannock+Restaurant/data=!4m2!3m1!1s0x89b1113c65c64953:0xb5ed3a297675dcaf,
Saison,,https://www.google.com/maps/place/Saison/data=!4m2!3m1!1s0x89b11139839bfe99:0x61aba1df08036346,
Metzger Bar and Butchery,,https://www.google.com/maps/place/Metzger+Bar+and+Butchery/data=!4m2!3m1!1s0x89b110dd9ed25fc1:0xc9c312967a98680f,
Hot Chick,,https://www.google.com/maps/place/Hot+Chick/data=!4m2!3m1!1s0x89b111ac8517c649:0x3ef506a520bd1901,
